#Density Data collected from the ARIANNA field team in Nov 2016 at the Moore's Bay Site
depth,density
0.5,0.3299294627
1,0.32973184
1.5,0.3492091849
2,0.4087611819
3,0.3821645693
3.8,0.406662588
4.2,0.463340508
4.8,0.4063939461
5.6,0.4391509025
6.8,0.4470244681
7.7,0.445914281
8,0.4438462961
8.8,0.4839369602
9.7,0.4722681793
10.3,0.5064088586
10.7,0.4867931234
11.8,0.4930960053
12.4,0.5238421486
12.7,0.5184107785
13.8,0.5177221167
14.7,0.525750277
15.8,0.5530427877
16.4,0.545023783
16.8,0.5497926951
17.9,0.5686897309
18.4,0.584304005
18.7,0.537008547
19.9,0.5629737184
20.5,0.5685253563
